species,ID,pinna_pairs,pinna_length,pinna_width,dissection,vein_pairs,lw_ratio
hybrid,1,3,18.5,4,0.16,2,4.625
hybrid,2,5,14.5,3.7,0.12,3,3.918918919
hybrid,3,3,12.7,3.7,0.19,2,3.432432432
hybrid,4,5,11.7,3.2,0.2,3,3.65625
hybrid,5,3,12.5,3.1,0.18,2,4.032258065
hybrid,6,4,16.1,3,0.18,2,5.366666667
hybrid,7,2,13.3,3.4,0.15,4,3.911764706
hybrid,8,3,10.5,3.5,0.17,2,3
hybrid,9,3,11.3,3,0.22,3,3.766666667
hybrid,10,3,12.4,2.7,0.2,2,4.592592593
mollis,1,4,17.7,4.4,0.05,10,4.022727273
mollis,2,3,10.4,3.6,0.02,11,2.888888889
mollis,3,3,16.2,4.5,0.07,9,3.6
mollis,4,3,12.1,3.5,0.09,11,3.457142857
mollis,5,2,11.5,4.2,0.08,13,2.738095238
mollis,6,3,14,4.2,0.1,8,3.333333333
mollis,7,3,12.7,3.9,0.07,11,3.256410256
mollis,8,2,10.5,3.3,0.09,9,3.181818182
mollis,9,2,11.5,3.9,0.08,10,2.948717949
mollis,10,2,12.7,3.7,0.09,8,3.432432432
nicaraguensis,1,5,9.6,2.1,0.59,1,4.571428571
nicaraguensis,2,6,10.9,2.2,0.55,0,4.954545455
nicaraguensis,3,8,9.1,1.9,0.62,1,4.789473684
nicaraguensis,4,5,10.8,2.3,0.57,1,4.695652174
nicaraguensis,5,8,13.9,2.9,0.66,0,4.793103448
nicaraguensis,6,6,11,2,0.6,1,5.5
nicaraguensis,7,4,11.6,2.3,0.51,1,5.043478261
nicaraguensis,8,5,10,2,0.55,0,5
nicaraguensis,9,6,12.1,2.6,0.59,1,4.653846154
nicaraguensis,10,5,13.5,3.3,0.63,1,4.090909091